objectid,parentid,filename,title,creator,date,description,type,format,display_template,object_location,image_small,image_thumb
scan01.jpg,,scan01.jpg,In the Shadow,Griffen Horsley,2021,"a small delft pot, rolled across the bed of a scanner, next to a small tea mug with brown and black markings.",Image;StillImage,image/jpeg,image,/objects/scan01.JPG,/objects/small/scan01_sm.jpg,/objects/thumbs/scan01_th.jpg
scan02.jpg,,scan02.jpg,Melding Pots,Griffen Horsley,2022,"a small, distorted delft pot, and a small distorted tea mug. The warped shape of the mugs stretch across a murky grey background.",Image;StillImage,image/jpeg,image,/objects/scan02.JPG,/objects/small/scan02_sm.jpg,/objects/thumbs/scan02_th.jpg
scan03.jpg,,scan03.jpg,Twins,Griffen Horsley,2022,"two identical tea mugs, the topmost mug, scanned directly from the bottom, and the bottommost mug scanned from the side.",Image;StillImage,image/jpeg,image,/objects/scan03.JPG,/objects/small/scan03_sm.jpg,/objects/thumbs/scan03_th.jpg
scan04.jpg,,scan04.jpg,Ochre Stretch,Griffen Horsley,2022,"A small tea mug is dragged and distorted across the scanner's platen, stretching and extending the object out, flattening its design, and revealing multiple angles of the object at once in 2D form. ",Image;StillImage,image/jpeg,image,/objects/scan04.JPG,/objects/small/scan04_sm.jpg,/objects/thumbs/scan04_th.jpg
scan05.jpg,,scan05.jpg,Caught in Orbit I,Griffen Horsley,2022,"A delft pot, placed mouth down on the scanner platen is orbited by a small tea mug, pointing at an angle towards the black hole of the delft pot.",Image;StillImage,image/jpeg,image,/objects/scan05.JPG,/objects/small/scan05_sm.jpg,/objects/thumbs/scan05_th.jpg
scan06.jpg,,scan06.jpg,Caught in Orbit II,Griffen Horsley,2022,"In sequence with Caught in Orbit I, Caught in Orbit II depicts the same delft pot and tea mug, angled slightly away from the delft pot",Image;StillImage,image/jpeg,image,/objects/scan06.JPG,/objects/small/scan06_sm.jpg,/objects/thumbs/scan06_th.jpg
scan07.jpg,,scan07.jpg,Delft Ochre Banner,Griffen Horsley,2022,"A delft pot has been rolled across the platen, creating an unravelled image of the pot's decorations",Image;StillImage,image/jpeg,image,/objects/scan07.JPG,/objects/small/scan07_sm.jpg,/objects/thumbs/scan07_th.jpg
scan08.jpg,,scan08.jpg,Delft Ochre Wash,Griffen Horsley,2022,"A delft pot, warped across the scanner bed, crosses paths with an unravelled and warped image of a brown and black tea mug.",Image;StillImage,image/jpeg,image,/objects/scan08.JPG,/objects/small/scan08_sm.jpg,/objects/thumbs/scan08_th.jpg
scan09.jpg,,scan09.jpg,Porcelain Warp,Griffen Horsley,2022,"A highly distorted delft pot, on a bright white background",Image;StillImage,image/jpeg,image,/objects/scan09.JPG,/objects/small/scan09_sm.jpg,/objects/thumbs/scan09_th.jpg
scan10.jpg,,scan10.jpg,Porcelain Eye,Griffen Horsley,2022,"A highly distorted delft pot, on a bright white background, with the mouth of the pot creating a large black spot at the right end of the image",Image;StillImage,image/jpeg,image,/objects/scan10.JPG,/objects/small/scan10_sm.jpg,/objects/thumbs/scan10_th.jpg
